HOSTNAME,SOURCE_SITE,SOURCE_DEVICE_TYPE,SOURCE_REGION,SOURCE_INTERFACE_ID,SLOT,TYPE,SOURCE_BUNDLE_INTERFACE,SOURCE_IPV4_ADDRESS,SOURCE_IPV6_ADDRESS,SEGMENT,TARGET_SITE,TARGET_DEVICE_TYPE,TARGET_HOSTNAME,TARGET_REGION,TARGET_INTERFACE_ID,Unnamed: 16,TARGET_BUNDLE_INTERFACE,TARGET_IPV4_ADDRESS,TARGET_IPV6_ADDRESS,ISIS_AREA,CHANGE ISIS,IS_BACK_TO_BACK_LINK,VIA_LOT_1,IS_VIA_ACI,IS_IOSXRV,IS_INFRA,IS_INTERCONNECT,ER4L,REMARKS,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
BMLPXBMLCICU001,PLDT BINMALEY,AN-1,NL,HundredGigE0/0/2/0,SLOT 0,PE-AN,Bundle-Ether200,10.205.228.233/30,,,PLDT DAGUPAN,PE-1,DGPN3809CIBE001,NL,HundredGigE0/0/0/30,SLOT 0,Bundle-Ether200,10.205.228.234/30,,,,,,,,YES,,,,,,,,,,,
BMLPXBMLCICU001,PLDT BINMALEY,AN-1,NL,HundredGigE0/1/2/0,SLOT 1,PE-AN,Bundle-Ether201,10.205.228.237/30,,,PLDT DAGUPAN,PE-2,DGPN3809CIBE001,NL,HundredGigE0/7/0/29,SLOT 7,Bundle-Ether200,10.205.228.238/30,,,,,,,,YES,,,,,,,,,,,
DGPN3809CIBE001,PLDT DAGUPAN,PE-1,NL,HundredGigE0/0/2/0,SLOT 0,PE-AN,Bundle-Ether200,10.205.228.233/30,,,PLDT BINMALEY,AN-1,BMLPXBMLCICU001,NL,HundredGigE0/0/0/30,SLOT 0,Bundle-Ether200,10.205.228.234/30,,,,,,,,YES,,,,,,,,,,,
DGPN3809CIBE001,PLDT DAGUPAN,PE-2,NL,HundredGigE0/1/2/0,SLOT 1,PE-AN,Bundle-Ether201,10.205.228.237/30,,,PLDT BINMALEY,AN-1,BMLPXBMLCICU001,NL,HundredGigE0/7/0/29,SLOT 7,Bundle-Ether200,10.205.228.238/30,,,,,,,,YES,,,,,,,,,,,
