HOSTNAME,SOURCE_SITE,SOURCE_DEVICE_TYPE,SOURCE_REGION,SOURCE_INTERFACE_ID,SLOT,TYPE,SOURCE_BUNDLE_INTERFACE,SOURCE_IPV4_ADDRESS,SOURCE_IPV6_ADDRESS,SEGMENT,TARGET_SITE,TARGET_DEVICE_TYPE,TARGET_HOSTNAME,TARGET_REGION,TARGET_INTERFACE_ID,,TARGET_BUNDLE_INTERFACE,TARGET_IPV4_ADDRESS,TARGET_IPV6_ADDRESS,ISIS_AREA,CHANGE ISIS,IS_BACK_TO_BACK_LINK,VIA_LOT_1,IS_VIA_ACI,IS_IOSXRV,IS_INFRA,IS_INTERCONNECT,ER4L,REMARKS,,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/1/0/34,,,Bundle-Ether40,10.205.193.58/30,2405:b800:1::bd/127,,PLDT South Taguig,PE-1,TAG00H21CIBE001,GMM,0/0/0/12,,Bundle-Ether31,10.205.193.57/30,2405:b800:1::bc/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/1/0/2,,,Bundle-Ether41,,,,PLDT Jupiter,ASBR-1,MKTG3610CIRO001,GMM,0/7/0/0,,Bundle-Ether35,,,1000,,,,,,YES,,NO,DO NOT USE IP ADDRESS,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/1/0/33,,,Bundle-Ether43,,,,PLDT Jupiter,ASBR-2,MKTG3610CIRO002,GMM,0/7/0/0,,Bundle-Ether35,,,1000,,,,,,YES,,NO,DO NOT USE IP ADDRESS,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/1/0/3,,,Bundle-Ether46,10.205.194.18/30,2405:B800:1::129/127,,PLDT Subic,PE-1,SUB00527CIBE001,NL,0/0/0/0,,Bundle-Ether31,10.205.194.17/30,2405:B800:1::128/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/1/0/32,,,Bundle-Ether48,10.205.194.50/30,2405:B800:1::139/127,,PLDT SFP,PE-1,SFPN3827CIBE0001,NL,0/0/0/0,,Bundle-Ether31,10.205.194.49/30,2405:B800:1::138/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP001,PLDT Jupiter,P-1,GMM,0/1/0/4,,,Bundle-Ether50,10.205.194.82/30,2405:B800:1::149/127,,SMART 6114 Baliuag,PE-1,BAL06114CIBE001,NL,0/0/0/12,,Bundle-Ether31,10.205.194.81/30,2405:B800:1::148/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/0,,,Bundle-Ether31,10.205.192.5/30,2405:B800:1::2/127,PLDT Jupiter P2 PLDT Sampaloc P2,PLDT Sampaloc,P-2,SPC00E67CIBP002,GMM,0/0/0/0,,Bundle-Ether31,10.205.192.6/30,2405:B800:1::3/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/35,,,Bundle-Ether33,10.205.192.70/30,2405:B800:1::23/127,PLDT Jupiter P2 PLDT SFU P2,PLDT SFU,P-2,SFUN3814CIBP002,NL,0/0/0/0,,Bundle-Ether31,10.205.192.69/30,2405:B800:1::22/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/1,,,Bundle-Ether34,10.205.192.134/30,2405:B800:1::43/127,PLDT Jupiter P2 PLDT Lucena P2,PLDT Lucena,P-2,LCN04117CIBP002,SL,0/0/0/0,,Bundle-Ether31,10.205.192.133/30,2405:B800:1::42/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/34,,,Bundle-Ether35,10.205.192.198/30,2405:B800:1::83/127,,PLDT Jupiter,PE-1,MKTG3610CIBE001,GMM,0/7/0/0,,Bundle-Ether32,10.205.192.197/30,2405:B800:1::82/127,1000,,,,,,YES,,NO,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/2,,,Bundle-Ether37,10.205.192.250/30,2405:B800:1::9D/127,,PLDT Sucat Vitro,PE-2,PRQG0099CIBE002,GMM,0/0/0/12,,Bundle-Ether31,10.205.192.249/30,2405:B800:1::9C/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/33,,,Bundle-Ether39,10.205.193.26/30,2405:B800:1::AD/127,,PLDT North Paranaque,PE-2,PRQG0049CIBE002,GMM,0/0/0/12,,Bundle-Ether31,10.205.193.25/30,2405:B800:1::AC/127,1000,,,,,,YES,,YES,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/3,,,Bundle-Ether41,10.205.193.54/30,2405:B800:1::BB/127,,PLDT Jupiter,ASBR-1,MKTG3610CIRO001,GMM,0/0/0/1,,Bundle-Ether36,10.205.193.53/30,2405:B800:1::BA/127,1000,,,,,,YES,,NO,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/32,,,Bundle-Ether43,10.205.193.70/30,2405:B800:1::C3/127,,PLDT Jupiter,ASBR-2,MKTG3610CIRO002,GMM,0/0/0/1,,Bundle-Ether36,10.205.193.69/30,2405:B800:1::C2/127,1000,,,,,,YES,,NO,,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/4,,,Bundle-Ether45,10.205.194.10/30,2405:B800:1::125/127,,PLDT Clark,PE-2,CKLN8004CIBE002,NL,0/0/0/0,,Bundle-Ether31,10.205.194.9/30,2405:B800:1::124/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/31,,,Bundle-Ether47,10.205.194.42/30,2405:B800:1::135/127,,PLDT Malolos,PE-2,MLLN3874CIBE002,NL,0/0/0/0,,Bundle-Ether31,10.205.194.41/30,2405:B800:1::134/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
MKTG3610CIBP002,PLDT Jupiter,P-2,GMM,0/0/0/5,,,Bundle-Ether49,10.205.194.74/30,2405:B800:1::145/127,,SMART 554 PLARIDEL,PE-2,PLA00554CIBE002,NL,0/0/0/0,,Bundle-Ether31,10.205.194.73/30,2405:B800:1::144/127,1000,,,YES,,,YES,,NO,NCS4K,PHASE 1,,,,,,,
